x,y
1996.0,-1.9490803567429291
1996.25,-1.8437246617838516
1996.5,-1.746473251052396
1996.75,-1.681638977231423
1997.0,-1.9328717882876858
1997.25,-1.7734875318111323
1997.5,-1.705951829914288
1997.75,-1.6114018472587073
1998.0,-1.6411175560933187
1998.25,-1.50604615229963
1998.5,-1.2142919201052629
1998.75,-1.0359976670975908
1999.0,-1.1170405093738072
1999.25,-1.0332962390217195
1999.5,-0.736139150675602
1999.75,-0.5929634626542917
2000.0,-0.44708634655710994
2000.25,-0.2714935216253131
2000.5,-0.08239355631414812
2000.75,-0.012156426341432445
2001.0,-0.40926635349487694
2001.25,-0.32552208314278935
2001.5,-0.1310192616798779
2001.75,-0.13912354590749954
2002.0,-0.16613782666623575
2002.25,0.004052142113810815
2002.5,0.14722783013512117
2002.75,0.17964496704560767
2003.0,0.08509498439002328
2003.25,0.38225207273614076
2003.5,0.40116206926725534
2003.75,0.38225207273614076
2004.0,0.4930106238469646
2004.25,0.5956648907301668
2004.5,0.800973424496575
2004.75,0.8360919894829328
2005.0,0.8333905614070616
2005.25,0.9441491125178854
2005.5,1.0738176601598237
2005.75,1.0954290847668173
2006.0,0.9549548248213783
2006.25,1.0386990951734658
2006.5,1.189979067422398
2006.75,1.2602161973951174
2007.0,1.2142919201052629
2007.25,1.3493633238989515
2007.5,1.5114490084513765
2007.75,1.554671857665356
2008.0,1.4087947415681743
2008.25,1.3871833169611845
2008.5,1.2926333343056
2008.75,1.079220516311574
2009.0,0.6983191576133728
2009.25,0.5308306169091975
2009.5,0.3579392200532759
2009.75,0.29580637430817797
2010.0,0.04997641940366544
2010.25,0.05808070363128707
2010.5,0.04457356325191897
2010.75,0.09590069669352007
2011.0,-0.12561640552813141
2011.25,-0.13642211783162436
2011.5,-0.14992925821099248
2011.75,-0.10940783707288816
